"ID","COMMUNE","Zone","EMP","Coordonnées GPS","Nom emp fr","Nom de l'emplacement","CT","CB","CS","Caisson","VIDANGE CT","IT B 1","IT B 2","IT B 3","IT CS 1","IT CS 2","IT CS 3"
"1","TZ","TVZ 1","TZ1-1","N 18°05.4478' W 015°58.4728'","Direction SNIM","إدارة اسنيم","","1","","CB","","12","","","","",""
"2","TZ","TVZ 1","TZ1-2","N 18°05.4509' W 015°58.9201'","","اعدادية الامتياز","","1","","CB","","6","","","","",""
"3","TZ","TVZ 1","TZ1-3","N 18°05.1039' W 015°58.5773'","","اعدادية البنات","","1","","CB","","10","","","","",""
"4","TZ","TVZ 1","TZ1-4","N 18°05.2637' W 015°58.2588'","","الخزينة العامة","1","","","CT","TZ1-9","","","","","",""
"5","TZ","TVZ 1","TZ1-5","N 18°05.3102' W 015°58.6599'","","الخطوط المغربية","","1","","CB","","9","","","","",""
"6","TZ","TVZ 1","TZ1-6","N 18°05.2869' W 015°58.1888'","","الصندوق الوطنى للضمان الاجتماعي","1","","","CT","TZ1-9","","","","","",""
"7","TZ","TVZ 1","TZ1-7","N 18°04.8299' W 015°58.8980'","","العيادة المجمعة","","","6","CS (6)","","","","","","9",""
"8","TZ","TVZ 1","TZ1-40","N 18°05.1952' W 015°58.8429'","","سوق كبيتال","","","4","CS (4)","","","","","","7",""
"9","TZ","TVZ 1","TZ1-8","N 18°05.3209' W 015°59.5868'","Elwatania Transport","الوطنية للنقل","","1","","CB","","22","","","","",""
"10","TZ","TVZ 1","TZ1-9","N 18°05.3821' W 015°58.4200'","Ehl Aide","اهل عيده+نقطة الساخنة","","2","","CB (2)","","11","","","","",""
"11","TZ","TVZ 1","TZ1-11","N 18°05.8258' W 015°58.6480'","Mosquee Gouba","جامع قباء سكوجيم","1","","","CT","TZ1-20","","","","","",""
"12","TZ","TVZ 1","TZ1-10","N 18°06.1600' W 015°58.7681'","Titi Maul","تيتى مول","","1","","CB ","","17","","","","",""
"13","TZ","TVZ 1","TZ1-12","N 18°05.5488' W 015°59.3760'","Ambassade Chine","سفارة الصين الجديدة","","1","","CB","","24","","","","",""
"14","TZ","TVZ 1","TZ1-13","N 18°05.7099' W 015°59.7167'","Ambassade Gambia","سفارة غامبيا","","1","","CB","","20","","","","",""
"15","TZ","TVZ 1","TZ1-15","N 18°06.1722' W 015°58.6003'","Marche Esma","سوق اسماء","1","","","CT","TZ1-10","","","","","",""
"16","TZ","TVZ 1","TZ1-14","N 18°05.5790' W 015°59.1747'","Ambassade France","سفارة فرنسا","","1","","CB","","25","","","","",""
"17","TZ","TVZ 1","TZ1-17","N 18°05.2698' W 015°58.7523'","","سوق طيبة","","1","","CB","","8","","","","",""
"18","TZ","TVZ 1","TZ1-18","N 18°05.9644' W 015°59.7380'","","شارع القدس","","1","","CB","","19","","","","",""
"19","TZ","TVZ 1","TZ1-19","N 18°05.5542' W 015°58.6230'","","طيبة محلاتي ","","1","","CB","","15","","","","",""
"20","TZ","TVZ 1","TZ1-20","N 18°06.0226' W 015°58.5546'","","فندق الطفيلة","","1","","CB ","","16","","","","",""
"21","TZ","TVZ 1","TZ1-21","N 18°05.5843' W 015°59.5699'","","مجمع الفتح","","1","","CB","","23","","","","",""
"22","TZ","TVZ 1","TZ1-24","N 18°05.2658' W 015°59.1329'","","مركز الاستطباب الوطنى","","","3","CS (3)","","","","","","3",""
"23","TZ","TVZ 1","TZ1-23","N 18°04.8213' W 015°59.0345'","","المدرسة 6","","1","","CB","","3","","","","",""
"24","TZ","TVZ 1","TZ1-26","N 18°05.5573' W 015°58.5587'","","مغسلة كالاكسي","1","","","CT","TZ1-19","","","","","",""
"25","TZ","TVZ 1","TZ1-27","N 18°05.6127' W 015°58.7528'","","مخبزة وحلويات الأمراء","1","","","CT","TZ1-31","","","","","",""
"26","TZ","TVZ 1","TZ1-25","N 18°05.4555' W 015°58.7636'","","مشروع التهذيب","1","1","","CB+CT","TZ1-25","13","","","","",""
"27","TZ","TVZ 1","TZ1-29","N 18°05.2631' W 015°58.4237'","","وزارة التهذيب","1","","","CT","TZ1-9","","","","","",""
"28","TZ","TVZ 1","TZ1-30","N 18°05.2164' W 015°58.6042'","","وزارة التجارة","","","3","CS (3)","","","","","","5",""
"29","TZ","TVZ 1","TZ1-28","N 18°05.8955' W 015°59.0609'","","مونتل","","1","","CB","","18","","","","",""
"30","TZ","TVZ 1","TZ1-31","N 18°05.6585' W 015°58.8266'","","الكنيسة ","","1","","CB","","14","","","","",""
"31","TZ","TVZ 1","TZ1-32","N 18°05.1997' W 015°58.9637'","","كراج الدولة","","1","","CB","","5","","","","",""
"32","TZ","TVZ 1","TZ1-33","N 18°05.1229' W 015°58.9771'","","لخويمة","","1","","CB","","4","","","","",""
"33","TZ","TVZ 1","TZ1-35","N 18°06.0396' W 015°58.9055'","","مصحة الشفاء","1","","","CT","TZ1-28","","","","","",""
"34","TZ","TVZ 1","TZ1-36","N 18°05.4099' W 015°58.1670'","","وزارة الصيد","1","","","CT","TZ1-9","","","","","",""
"35","TZ","TVZ 1","TZ1-37","N 18°05.6313' W 015°58.5194'","","الملعب البلدي","1","","","CT","TZ1-19","","","","","",""
"36","TZ","TVZ 1","TZ1-34","N 18°05.3857' W 015°58.8902'","","ساحة BMD ","1","1","","CB+CT","TZ1-34","7","","","","",""
"37","TZ","TVZ 1","TZ1-39","N 18°05.1273' W 015°58.7137'","","كراج بوتلميت","","1","","CB","","1","","","","",""
"38","TZ","TVZ 1","TZ1-41","N 18°05.8156' W 015°59.3920'","","سفارة السودان","","","4","CS (4)","","","","","","1",""
"39","TZ","TVZ 1","TZ1-42","N 18°04.9136' W 015°58.7461'","","شارق الرزق","","1","","CB","","2","","","","",""
"40","TZ","TVZ 2","TZ2-1","N 18°06.3749' W 015°59.4409'","La Television","التلفزه","","1","","CB","","","36","","","",""
"41","TZ","TVZ 2","TZ2-2","N 18°08.8257' W 015°59.6932'","L'universite 1","الجامعه 1","","1","","CB","","","54","","","",""
"42","TZ","TVZ 2","TZ2-3","N 18°09.6856' W 015°59.1273'","Restaurant de l'universite 2 ","مطعم الجامعه 2 ","","1","","CB","","","56","","","",""
"43","TZ","TVZ 2","TZ2-4","N 18°05.4521' W 015°58.9951'","La SMTD","الشركة SMTD","","3","","CB(3)","","","50","","","",""
"44","TZ","TVZ 2","TZ2-5","N 18°06.1963' W 015°59.1194'","Stade","الملعب","","1","","CB","","","1","","","",""
"45","TZ","TVZ 2","TZ2-6","N 18°07.3961' W 015°59.2139'","Ehl Memme","اهل مم","","1","","CB","","","13","","","",""
"46","TZ","TVZ 2","TZ2-7","N 18°08.0840' W 015°59.5649'","El Bouhaira","بحير 1","","","4","CS (4)","","","","","","","17"
